/home/alaa/Dropbox (BPHO)/BPHO Staff/USF/EM/training/trainsets/crappified
/home/alaa/Dropbox (BPHO)/BPHO Staff/USF/EM/training/trainsets/crappified
epoch     train_loss  valid_loss  mse_loss  ssim      psnr      time    
0         0.044314    0.043111    0.043111  0.478482  13.658364 26:37     
1         0.042566    0.042504    0.042504  0.498205  13.719883 25:31     
2         0.042141    0.041434    0.041434  0.499606  13.830512 25:08     
3         0.041658    0.041152    0.041152  0.512261  13.860073 25:12     
4         0.041635    0.040664    0.040664  0.495753  13.911983 24:48     
5         0.040894    0.039988    0.039988  0.504329  13.984805 24:53     
epoch     train_loss  valid_loss  mse_loss  ssim      psnr      time    
0         0.053694    0.052600    0.052600  0.288617  12.806708 1:38:18   
1         0.052891    0.057888    0.057888  0.298872  12.405917 1:38:14   
2         0.053048    0.054014    0.054014  0.270564  12.694485 1:38:08   
3         0.052611    0.052776    0.052776  0.301193  12.792311 1:38:06   
4         0.052678    0.052596    0.052596  0.287142  12.806884 1:37:48   
5         0.051785    0.051583    0.051583  0.295882  12.891448 1:37:43   
